78, Maurice Whelton ,Ivan Bennett ,Co. Cork ,Mini ,17
79, Finbarr Murphy ,Kieran Baverstock ,Co. Cork ,Ford Escort G3 ,11R
80, Ger Cullinane ,Kieran O’Donoghoe ,Co. Cork ,Toyota Starlet RWD ,11R
81, Cormac Smiddy ,Eugene Cronin ,Co. Cork ,Honda Civic ,16
82, Alan Lane ,Sean O’Crowley ,Co. Cork ,Honda Civic ,11F
83, Kieran Reen ,Sean Collins ,Co. Kerry ,Honda Civic ,16
84, David Swanton ,Alan Shannon ,Co. Cork ,Suzuki Swift GTI ,9
85, Liam Eyre ,Katy Ford ,Co. Cork ,Peugeot 205 ,10
86, Thomas O’Reilly ,Dan Scott ,Co. Cork ,Peugeot 106 Cup Car ,2
87, Pat O’Connell ,Paddy Nash ,Co. Limerick , Toyota Starlet ,9
88, Robert Beamish ,Orla Beamish ,Co. Cork ,Opel Corsa ,9
89, Sean White ,Alison White ,Co. Cork ,Honda Civic ,11F
90, Leonard Downey ,,,,
91, Enda Gerety ,,,,
92, Sean Moynihan ,,,,
93, Darren O’Brien ,,,,
94, Gary Cassidy ,,,,
95, Frank Hurley ,,,,
