J1,Eric Calnan,Aileen Kelly,Carrigaline,Peugeot 106 S16,16
J2,Jonny Treanor,Paul Sheridan,Monaghan,Honda Civic,16
J3,Brian Brady,Leonard Tuite,Co. Meath,Honda Civic,16
J4,Michael Boyle,Dermot McCafferty,Donegal,Honda Civic,16
J5,Tom Holton,Ryan Driver,Co. Meath,Honda Civic,16
J6,Eamonn McCarthy,Declan Buttimer,Lissavaird,Honda Civic,16
J7,Kieran Reen,Alan Buckley,Killarney,Honda Civic,16
J8,Michael Hamilton,TBA,Co. Clare,Honda Civic,16
J9,Aaron Brown,Daniel Hanratty,Glanmire,Honda Civic,16
J10,Barry Archer,Eugene Cronin,Midleton,Honda Civic EK4,16
J11,Patrick Murphy,Derek Buttler,Mallow,Honda Civic,16
J12,Aaron McEvoy,Dylan Mullane,Midleton,Honda Civic,16
J14,Chris Brady,Jenny Warren,Beal Na Blath,Honda Civic,16
J15,Lisa Knox,Dario Tempesta,Killkenny,Honda Civic EK4,16
J16,Diarmuid Hallahan,Mike Hallahan,Cloyne,Honda Civic EK4,16
